Yaş grubu Age group,Cinsiyet Sex,Toplam Total,Tayin / iş değişikliği Assignation / change of job,İşe  başlamak / iş bulmak Starting / finding a job,Eğitim Education,Medeni durum değişikliği / ailevi nedenler  Change of marital status / family-related reasons,Daha iyi konut  ve yaşam koşulları  Better  housing and  living conditions,Hane / aile fertlerinden  birine bağımlı göç Migration related to any member of the household / family,Aile yanına / memlekete geri dönme(1)  Returning to family home / hometown(1),Sağlık / bakım  Health / care,Ev alınması Buying a house,Emeklilik Retirement,Diğer Other,Bilinmeyen Unknown
60-64,Toplam-Total,59810.0,1813,2292,-,1295,28004.0,10495.0,4347.0,1009.0,4869.0,1607,1753.0,2326.0
,Erkek-Male,30895.0,1555,1733,-,627,15017.0,3497.0,2215.0,458.0,2440.0,1158,1020.0,1175.0
,Kadın-Female,28915.0,258,559,-,668,12987.0,6998.0,2132.0,551.0,2429.0,449,733.0,1151.0
65+,Toplam-Total,110030.0,110,292,-,1804,60962.0,16022.0,7470.0,7247.0,7429.0,1455,2791.0,4448.0
,Erkek-Male,53232.0,77,198,-,877,31401.0,5683.0,3829.0,2515.0,3939.0,1017,1652.0,2044.0
,Kadın-Female,56798.0,33,94,-,927,29561.0,10339.0,3641.0,4732.0,3490.0,438,1139.0,2404.0
"TÜİK, İç Göç İstatistikleri, 2025",,,,,,,,,,,,,,
"TurkStat, Internal Migration Statistics, 2025",,,,,,,,,,,,,,
"(1) Ülkemizde 6 Şubat 2023 tarihinde yaşanan deprem sonrasında başka bir ile göç eden kişilerden, deprem öncesindeki ikamet ettikleri illere geri dönen kişiler “Aile yanına / memlekete geri dönme” başlığı altında değerlendirilmiştir.",,,,,,,,,,,,,,
"(1) Those who migrated to another province after the earthquake occurred in Türkiye on February 6, 2023, and later returned to pre-earthquake province of residence are classified under the category of “Returning to family home / hometown”.",,,,,,,,,,,,,,
- Bilgi yoktur.,,,,,,,,,,,,,,
- Denotes magnitude null.,,,,,,,,,,,,,,
